username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
dutch163|2018-06-18 00:13|0|0|"actually he is not he has increased our national debt and budget deficit, his tariff war is increasing our costs https://www.forbes.com/sites/stancollender/2018/01/31/trumps-sotu-an-even-bigger-budget-deficit-and-national-debt-are-on-the-way/#708e960b50da …"|||#708e960b50da|"1008472801454575616"|https://twitter.com/dutch163/status/1008472801454575616
NewsFeedBreaker|2018-06-18 00:09|0|0|"# DonaldTrump will nominate # OMB (Office of Management and Budget) official # KathyKraninger to be the next director of the # CFPB (Consumer Financial Protection Bureau)https://politi.co/2t1Bd3W"|||# # # #|"1008471614789509121"|https://twitter.com/NewsFeedBreaker/status/1008471614789509121
DomindoCom|2018-06-17 23:49|12|21|"The executive branch is trying to extort $25B in budget concessions (ransom) for a border wall by kidnapping latino children!"||||"1008466706317152256"|https://twitter.com/DomindoCom/status/1008466706317152256
LauRepeat|2018-06-17 23:31|0|0|"Enjoy your ride on the successful Obama economic train, dufus! Your tariffs and budget deficits are gonna bring it to a screeching halt, which is what you want so you can buy properties for pennies on the dollar...."||||"1008462157737025536"|https://twitter.com/LauRepeat/status/1008462157737025536
RyanHillMI|2018-06-17 22:44|0|0|"The budget request came from the administration… "TRUMP plans to ASK for $716 billion for national defense in 2019" https://www.whitehouse.gov/wp-content/uploads/2018/02/budget-fy2019.pdf …"||||"1008450345767526402"|https://twitter.com/RyanHillMI/status/1008450345767526402
blackbaa|2018-06-17 22:41|0|0|"What's your budget?"||||"1008449569259249665"|https://twitter.com/blackbaa/status/1008449569259249665
IsYourNameShilo|2018-06-17 22:18|0|1|"4)The budget for Homeland Security, ICE, the FBI is 50 billion dollars. There is 80 billion dollars budgeted to CIA and military black ops by the "anti deep state" Donald Trump..."||||"1008443841718857728"|https://twitter.com/IsYourNameShilo/status/1008443841718857728
MaryMeAgain|2018-06-17 22:17|1|0|"Dear Mr President~ ¡Holá! As a taxpayer I want to thank you for taking clear concise action since entering office. When drafting the border security/immigration policy please consider the children=for 2000 kids, we should have 600 social workers getting them home. Budget for it!"||||"1008443487539171329"|https://twitter.com/MaryMeAgain/status/1008443487539171329
madhaus|2018-06-17 22:06|0|0|"My failing state that’s running a 9% budget surplus? My failing state that’s the 5th largest economy in the world? My failing state that’s keeping you taker Red States from collapsing? That failing state? You’re half German? That means you have relatives who WERE ACTUAL NAZIS."||||"1008440874898866176"|https://twitter.com/madhaus/status/1008440874898866176
BigDru|2018-06-17 21:37|1|0|"The trillions in shocking cuts in Donald Trump's budget, explained https://www.vox.com/policy-and-politics/2017/5/22/15676490/trump-budget-2018-explained?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=facebook …"||||"1008433565367980034"|https://twitter.com/BigDru/status/1008433565367980034
BigDru|2018-06-17 21:37|1|0|"President Donald Trump unveiled the second budget proposal of his presidency, encompassing proposals... https://www.vox.com/policy-and-politics/2018/2/12/16996832/trump-budget-2019-release-explained?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=facebook …"||||"1008433354490961921"|https://twitter.com/BigDru/status/1008433354490961921
jackhammer29006|2018-06-17 21:26|1|8|"Hey # FatNixon the military presence is already included in the Pentagon's military budget: Ergo that is a "BIGLY Covfefe" LIE!"|||#|"1008430682580946946"|https://twitter.com/jackhammer29006/status/1008430682580946946
ClaudiaWheatley|2018-06-17 21:23|0|0|"FFS, could you PLEASE not use dictator language? And what are we supposedly provoking? A two-day pout? If you're so concerned about military spending, go over your budget--you will definitely can find some savings in there. Better yet, cancel your stupid, ego-stroking parade."||||"1008430034456076288"|https://twitter.com/ClaudiaWheatley/status/1008430034456076288
brubu1220|2018-06-17 21:10|0|0|"You crumbled like a cracker. If you wanted to save money, why did you increase military budget?"||||"1008426783417557000"|https://twitter.com/brubu1220/status/1008426783417557000
denisemackinno7|2018-06-17 20:56|0|0|"If @ realDonaldTrump wanted Vets to get the care that they need he wouldn't have cut the budget the way he did."||@||"1008423208196829184"|https://twitter.com/denisemackinno7/status/1008423208196829184
petersonny1|2018-06-17 20:52|0|0|"Those trips to Mar-a-Lago are VERY EXPENSIVE. They do cut your marketing budget however."||||"1008422254508638209"|https://twitter.com/petersonny1/status/1008422254508638209
WakeLakeAustin|2018-06-17 20:40|0|0|"Expensive? Then cut the Pentagon budget back. If readiness is too expensive, go for it, Trump! Slice and dice it. The truth is you gave away the store to KJU to help pay for your # GOPTaxScam. You gave away our security and that of our allies in the region. # lazyoldfool"|||# #|"1008419179697860609"|https://twitter.com/WakeLakeAustin/status/1008419179697860609
LDzurillay|2018-06-17 20:27|0|1|"And while we're on it, I'm 56, Bill Clinton with the help of Newt Gingrich (hated each other) Were the ONLY people in my life to actually BALANCE the Federal Budget..."||||"1008415762611101696"|https://twitter.com/LDzurillay/status/1008415762611101696
LarsGAndersen|2018-06-17 20:22|0|0|"The goverment cut the budget for the Met Police"||||"1008414622142074881"|https://twitter.com/LarsGAndersen/status/1008414622142074881
TeperVladislav|2018-06-17 20:19|12|14|"Why do you think Trump wants border wall? I think he is much less interested in protecting our borders, but definitely cares about kickbacks. Because this is how they do business in Russia. This is called "saw the budget" or "пилить бюджет". Right Donnie?"||||"1008413827157946373"|https://twitter.com/TeperVladislav/status/1008413827157946373
Amel_Benmann|2018-06-17 20:17|0|0|"Trump set to nominate budget official to succeed Mulvaney as consumer watchdog: The White House said on Saturday that President Donald Trump will pick Kathy Kraninger, an Office of Management and Budget (OMB) official, to head the U.S. consumer watchdog. http://dlvr.it/QXc5jJ pic.twitter.com/k8pCcUJ8p8"||||"1008413267243356160"|https://twitter.com/Amel_Benmann/status/1008413267243356160
IamPacNWer|2018-06-17 20:12|0|0|"Israel created its own mess...YOU clean it up.FACT: the # GOP Bu$hcartel took us to the brink of another Great Depression. Rather than budget for THEIR two wars, tax cuts, & medicare drug plan, they passed it on to Obama administration...who dealt with it AND started a recovery. pic.twitter.com/BEerKoXZOI"|||#|"1008412135733411842"|https://twitter.com/IamPacNWer/status/1008412135733411842
didjitolme|2018-06-17 20:07|0|0|"You know what else is very expensive? All your golf trips you said you wouldn't take and increasing the military budget to record levels."||||"1008410816092221446"|https://twitter.com/didjitolme/status/1008410816092221446
Kricket_77|2018-06-17 20:05|0|0|"You my friend hit the nail on the head! Thump whines as if Dems have all the power! Thump acts as if taxes went up, well don't look at the fact that his SPENDING ON GOLF TRIPS, VACATIONS ECT WENT WAY OVER BUDGET & HIS WH BUDGET WAS BROKE BY SEPT just blame the DEMOCRATS! SMH"||||"1008410402437451776"|https://twitter.com/Kricket_77/status/1008410402437451776
ProNewsViews|2018-06-17 20:03|0|0|"WASHINGTON (Reuters) The White # House said on Saturday that # President Donald # Trump will pick Kathy Kraninger, an Office of Management and Budget (OMB) official, to head the U.S. consumer watchdog, drawing criticism from consumer advocates and dividing... http://feeds.reuters.com/~r/reuters/topNews/~3/cCV4tSQUCnA/trumps-consumer-watchdog-pick-draws-criticism-from-left-and-right-idUSKBN1JC10T …"|||# # #|"1008409908168011776"|https://twitter.com/ProNewsViews/status/1008409908168011776
Redhairwho|2018-06-17 20:03|0|0|"@ theresa_may @ realDonaldTrump @ jebbush @ HillaryClinton @ ChicagosMayor I think we need to have a meeting...universal healthcare....and the HOSTAGE TAKING of CONGRESS and parliament of suffering as a budget HOLDING and BLACKMAIL, plus I have a fix...smog and the brain fix!"||@ @ @ @ @||"1008409832532168704"|https://twitter.com/Redhairwho/status/1008409832532168704
ThePhillyMatt|2018-06-17 20:03|0|0|"This is a lie. The first stimulus package was in late 2008 and was Bush’s but hit 2009 budget. The second was smarter (loans) which were mostly repaid and credit Dey for saving Chrysler and GM. Do research before you talk out of your ass."||||"1008409769219158016"|https://twitter.com/ThePhillyMatt/status/1008409769219158016
meg_liberace|2018-06-17 19:55|0|0|"That beach looks atrocious .... this is the best you could do?? Misplaced anger on a budget, I guess"||||"1008407794184347649"|https://twitter.com/meg_liberace/status/1008407794184347649
srbija_eu|2018-06-17 19:49|0|0|"The White House said on Saturday that President Donald Trump will pick Kathy Kraninger, an Office of Management and Budget (OMB) official, to head the U.S. consumer watchdog, drawing criticism from consumer advocates and dividing conservatives. pic.twitter.com/WU6TqDpiTN"||||"1008406385535565825"|https://twitter.com/srbija_eu/status/1008406385535565825
rcmoraitis|2018-06-17 19:41|0|0|"Actually, only Congress can balance a budget. Its generally done through the appropriations and the ways and means committees. A President can propose a budget and sign one after passed by Congress. It was done with a Republican controlled Congress at the time"||||"1008404358411771905"|https://twitter.com/rcmoraitis/status/1008404358411771905
RussianBot617|2018-06-17 19:38|0|0|"Speaking of the # budget how much red ink do you think we’ll see this year"|||#|"1008403492833198081"|https://twitter.com/RussianBot617/status/1008403492833198081
wildav52|2018-06-17 19:36|0|0|"So since you’re all budget conscious now, I assume you also canceled the stupid wasteful military parade?"||||"1008402987809681408"|https://twitter.com/wildav52/status/1008402987809681408
bdnews24|2018-06-17 19:30|0|0|"Trump set to nominate budget official to succeed Mulvaney as consumer watchdog The White House said on Saturday that President Donald Trump will pick Kathy Kraninger, an Office of Management and Budget (OMB) official, to head th... http://twib.in/l/XERrKpeA8n68  via @ bdnews24 # business"||@|#|"1008401415616847872"|https://twitter.com/bdnews24/status/1008401415616847872
independentat11|2018-06-17 19:28|0|0|"South Korea pays for half. It’s a spit in the bucket of the dod budget."||||"1008400916012195843"|https://twitter.com/independentat11/status/1008400916012195843
PonsSublicius|2018-06-17 19:14|0|0|"WHY DOES DOJ STILL HAVE A BUDGET? Let the offenders explain to their coworkers why they aren't getting paid, the HVAC is off, the leased car is getting repossessed."||||"1008397595784425472"|https://twitter.com/PonsSublicius/status/1008397595784425472
vf3975|2018-06-17 18:57|0|0|"OK, now onto the budget deficit..."||||"1008393178700009472"|https://twitter.com/vf3975/status/1008393178700009472
JustWonderingMN|2018-06-17 18:51|0|0|"Conservatives, please support free trade, our uncensored media, our law enforcement agencies, balanced budgets, our democratic allies and oppose communist dictators. Oh right. You don’t have a spine or any principles. Sad."||||"1008391688602169344"|https://twitter.com/JustWonderingMN/status/1008391688602169344
tykharazi|2018-06-17 18:43|0|0|"But you just increased our military budget. Can we apply your savings to environmental problems"||||"1008389597670174720"|https://twitter.com/tykharazi/status/1008389597670174720
Moeknowsdiddley|2018-06-17 18:38|0|0|"@ timkaine DO NOT COMPROMISE ON ANYTHING until @ jeffsessions rescinds his orders on separating families. No budgets, nothing... @ realDonaldTrump Promised is Mexico would pay for his wall, NOT the taxpayers in exchange for not committing crimes against humanity"||@ @ @||"1008388444039667712"|https://twitter.com/Moeknowsdiddley/status/1008388444039667712
tweet1hz|2018-06-17 18:31|0|0|"Way to continue Obama's success. Didn't you just manage to get your own budget passed this year after MONTHS of being unable to get it done?"||||"1008386712731574273"|https://twitter.com/tweet1hz/status/1008386712731574273
EJK1Boxing|2018-06-17 18:17|10|67|"Same as when a democrat, Clinton, actually balanced the budget & had a surplus. Then GW Bush squandered it & almost bankrupted the federal government. Then Obama fixed it & created most of what’s happening today while Trump tries to reverse it. Let’s see it in 2 years."||||"1008383071865929728"|https://twitter.com/EJK1Boxing/status/1008383071865929728
shauncmba|2018-06-17 18:15|0|2|"No more $$. You do realize that Israel has become a line item in our budget. You are ARMED to the T! Work with the UN. Stop fu**ing with Palestinians. Protect yourself. We gave you the resources. We do love you, but you are not America part II $$$$$$"||||"1008382757188390913"|https://twitter.com/shauncmba/status/1008382757188390913
jessieo321|2018-06-17 18:08|1|1|"False. 1st- Trump just made clear it's now China first, as he tries to prop up ZTE, a known security risk, because they paid him and Ivanka off. 2nd - "entitlements" take up a tiny % of budget. Most of that goes to military. 3rd-we pay into SS our whole lives so that $ is ours!"||||"1008380973392674816"|https://twitter.com/jessieo321/status/1008380973392674816
TweettHeart|2018-06-17 18:08|0|0|"This Afternoon California Announced that they have a $9 BILLION surplus this year & will use a portion of the extra money to help the homeless... Meanwhile, Trump Admin has a $1 TRILLION deficit and passed a budget to help billionaires. "Those damn Libruls" Brian Krassenstein"||||"1008380871295070209"|https://twitter.com/TweettHeart/status/1008380871295070209
GooseHonks|2018-06-17 18:06|0|0|"“VERY EXPENSIVE” is funny coming from someone who tells his cult that U.S. military is weak and needs to have more money thrown at it. Is the plan to budget the money for show but never actually allocate it? Seems to be the liar’s way!"||||"1008380267537498113"|https://twitter.com/GooseHonks/status/1008380267537498113
Mikerepent1|2018-06-17 18:02|1|1|"No. The interest on debt (increasing by a trillion under Trump) and military make up majority of the budget."||||"1008379476646989824"|https://twitter.com/Mikerepent1/status/1008379476646989824
drrelaxx|2018-06-17 17:57|0|0|"We trumpies believe in America first! That includes putting American workers first! Including fair trade, and legislation that looks out for men and women who want to earn a fair living and provide for thier children. Entitlements already suck the majority of budget."||||"1008378162022141953"|https://twitter.com/drrelaxx/status/1008378162022141953
JosephJ84281313|2018-06-17 17:56|0|0|"You are stoking up huge problems in the long term Trump. Look at your growing budget deficit. It’s appauling: https://www.forbes.com/sites/stancollender/2017/10/22/the-trump-budget-legacy-a-permanent-1-trillion-federal-deficit/#2e4371ad7a65 …"|||#2e4371ad7a65|"1008377757141790720"|https://twitter.com/JosephJ84281313/status/1008377757141790720
fakepotuslies|2018-06-17 17:55|0|0|"This man has done nothing for america. He is responsible for trying to balance a budget & reduce the deficit yet has done nothing but increase the debt by over 1.5 trillion in less than 1yr. This debt won't be recoverable and all the money u have in the bank will be taken by gov"||||"1008377570235240448"|https://twitter.com/fakepotuslies/status/1008377570235240448
Dotdogz|2018-06-17 17:52|0|6|"Cuts into you golf budget, I suppose?"||||"1008376972299272194"|https://twitter.com/Dotdogz/status/1008376972299272194
oscargallo82|2018-06-17 17:50|0|0|"All thanks to Obama, you are already giving the worst budget deficit in a decade."||||"1008376344655196160"|https://twitter.com/oscargallo82/status/1008376344655196160
sjvandus|2018-06-17 17:36|0|0|"If we could’ve saved so much money by eliminating unnecessary war games, why did you push so hard to increased defense spending in the last budget? Hypocrite! # AlertTheDaycareStaff # DementedDonnie"|||# #|"1008372745812500481"|https://twitter.com/sjvandus/status/1008372745812500481
0nastick|2018-06-17 17:34|0|0|"The games are already in the budget you fucking moron"||||"1008372389481152512"|https://twitter.com/0nastick/status/1008372389481152512
nbcbayarea|2018-06-17 17:31|0|0|"President Donald Trump intends to nominate an associate director at the Office of Management and Budget to lead the government's consumer watchdog agency, the White House announced Saturday. http://nbcbay.com/VNJnitD"||||"1008371454021459968"|https://twitter.com/nbcbayarea/status/1008371454021459968
TrumpluvinTexan|2018-06-17 17:24|0|4|"And it still early day’s!!! Just wait ‘til these economik trends from the HUSSEIN Obama admin stop and we start feeelin’ the impact of ur policies — tradin’ wars, more uninsured folks, and big ol’ budget deficits!!!! # trumplogic"|||#|"1008369824660119552"|https://twitter.com/TrumpluvinTexan/status/1008369824660119552
mirjanabh|2018-06-17 17:20|0|0|"1. “Military Exercises” 2. You signed a $700 billion budget into law...but please tell us how concerned you are about spending."||||"1008368714960527360"|https://twitter.com/mirjanabh/status/1008368714960527360
ChrisJZullo|2018-06-17 17:15|33|112|"Donald Trump’s a lying spammer. When he tells you how great he made the economy he counts on your ignorance. With unemployment, GDP, stock market and the budget you should be thanking President Obama for setting the economy straight, not kissing Trump’s ass pic.twitter.com/3zn9ZSiTld"||||"1008367606296965120"|https://twitter.com/ChrisJZullo/status/1008367606296965120
JimHugh63846791|2018-06-17 17:14|0|0|"By the way shut down Donny- looking forward to you NOT getting any wall funding in pending budget deal - you’ll shut down the govt in September- and be in jail by January"||||"1008367261869133827"|https://twitter.com/JimHugh63846791/status/1008367261869133827
williegonzaless|2018-06-17 17:09|0|4|"how about instead a shutdown for the Wall, congress passes a balance the budget, make the tax cuts permanent, and create term limits!!"||||"1008366120942882819"|https://twitter.com/williegonzaless/status/1008366120942882819
Libratard|2018-06-17 17:08|0|0|"Everyone knows you're lying you do anything to get your wall the we don't need and chance to raise the budget buy more than we can afford"||||"1008365732994977792"|https://twitter.com/Libratard/status/1008365732994977792
scwhorf|2018-06-17 17:04|0|0|"How about not boosting the defense budget at the expense of healthcare you elitist pig."||||"1008364658061742080"|https://twitter.com/scwhorf/status/1008364658061742080
RickyBonneville|2018-06-17 17:03|0|5|"Didn’t he just increase the military budget? Now he’s worried about saving money. What does S Korea think?"||||"1008364545046470656"|https://twitter.com/RickyBonneville/status/1008364545046470656
HowdyD00die|2018-06-17 17:03|0|0|"Just cut the budgets to the @ FBI and DOJ."||@||"1008364420387389440"|https://twitter.com/HowdyD00die/status/1008364420387389440
CPAinOH|2018-06-17 17:01|0|0|"And yet the military budget is at an all time high. Which is it"||||"1008364088726966273"|https://twitter.com/CPAinOH/status/1008364088726966273
Baconontap|2018-06-17 17:00|0|1|"So what do we need that huge military budget for? And it’s called “throwing South Korea under the bus” . No one should trust anything you say."||||"1008363717203918850"|https://twitter.com/Baconontap/status/1008363717203918850
MikeWebbNow|2018-06-17 16:59|0|0|"Two: the charter school would take a smaller cut from your budget than building a new damn school."||||"1008363555329110017"|https://twitter.com/MikeWebbNow/status/1008363555329110017
MikeWebbNow|2018-06-17 16:58|0|0|"One: If you have a charter school it would be in the damn budget."||||"1008363282057584640"|https://twitter.com/MikeWebbNow/status/1008363282057584640
bcarter_brian|2018-06-17 16:58|0|0|"Then why did you push for increased military expenses in the budget? Pick an agenda asshack"||||"1008363158669611008"|https://twitter.com/bcarter_brian/status/1008363158669611008
jfoster0023|2018-06-17 16:52|0|0|"However it is vital for the military that rotates every 2 years. Weren't you so proud of the increased military budget? What are you going to do with all the $$?"||||"1008361643166715904"|https://twitter.com/jfoster0023/status/1008361643166715904
Michael93105|2018-06-17 16:50|0|0|"If you’re so concerned about military costs, why did you increase the defense budget with even more corporate pork than ever? Why do you demand a military parade to honor yourself at a cost of $39 million? Kim now knows you’ll back off easily! No art to this deal!"||||"1008361311741177856"|https://twitter.com/Michael93105/status/1008361311741177856
rahl_john|2018-06-17 16:41|0|0|"The Republicans and Donald Trump are bankrupting America. The military budget is out of control. The American Mexican border is out of control. The office of the presidency is out of control. America is being run via gross negligence."||||"1008359051208642560"|https://twitter.com/rahl_john/status/1008359051208642560
dawsonmalibu|2018-06-17 16:38|0|0|"@ realDonaldTrump Reminder: WALL. Use military budget. No amnesty deals. Amnesty will be abused by millions. Deport DACA & 30+ million illegal aliens (Adios America). Cut $300 billion yr 4 illegals & economic migrants. End FREEBIES welfare IRS ITIN SSI med legal Ed housing SNAP!"||@||"1008358348712890368"|https://twitter.com/dawsonmalibu/status/1008358348712890368
rahl_john|2018-06-17 16:38|0|1|"The Republicans and Donald Trump are bankrupting America. The military budget is out of control. The American Mexican border is out of control. The office of the presidency is out of control. America is being run via gross negligence."||||"1008358171566641152"|https://twitter.com/rahl_john/status/1008358171566641152
LouSyphur|2018-06-17 16:37|0|0|"So why did you up the Pentagon budget I think they got the money or is that for your private army ?"||||"1008358085788884993"|https://twitter.com/LouSyphur/status/1008358085788884993
pedskr|2018-06-17 16:36|0|0|"Not war games (training) not provocative (deterrent) not expensive in DOD Budget (minuscule compared to cost of accidents deaths caused by not training) Seriously you are a dumb fking moron!"||||"1008357762844291072"|https://twitter.com/pedskr/status/1008357762844291072
SunscreenAlways|2018-06-17 16:32|0|0|"If already budgeted for military readiness exercises are “too expensive,” then why did you request a 7% increase in your budget request? What are they going to spend it on?"||||"1008356822045032448"|https://twitter.com/SunscreenAlways/status/1008356822045032448
LaurelGriggs5|2018-06-17 16:31|0|0|"You know what’s really expensive? Your stupid parade and your golf games. You’re the one who made the military budget a ridiculous amount of GDP. Now you want to hurt our people with Medicare and social security. You said you wouldn’t touch them.People voted on that # LIARINCHIEF"|||#|"1008356364404617217"|https://twitter.com/LaurelGriggs5/status/1008356364404617217
lanesx3|2018-06-17 16:30|0|1|"You recently gave our bloated defense budget an extra $50 billion dollars. Expensive my ass!"||||"1008356230958469120"|https://twitter.com/lanesx3/status/1008356230958469120
ContiTonight|2018-06-17 16:29|3|9|"Remember this? Wollman Rink, Central Park, NYC 1987. Take a look at what @ realDonaldTrump did with the profit "leftover" from his under budget, ahead of schedule project... RT pic.twitter.com/U0PMb1CtaA"||@||"1008355955426447361"|https://twitter.com/ContiTonight/status/1008355955426447361
wimbertolves|2018-06-17 16:29|0|0|"Also, btw, our snap budget is only 2.5 billion. Hardly a drain and barely even a surface dent in our federal spending. Like people who claim snap fraud pretend this is crippling our economy so small-minded"||||"1008355952976728066"|https://twitter.com/wimbertolves/status/1008355952976728066
jdv53085|2018-06-17 16:27|0|0|"...and the budget for military/defense under your Admin is how much?"||||"1008355425320947712"|https://twitter.com/jdv53085/status/1008355425320947712
Datasmate|2018-06-17 16:24|1|1|"Yes it is, because Obama saved economy from the Great Recession, Bush started. Of course companies are doing well. They were making record profits before your tax cuts. You did them a favor. You screwed the US budget, the national deficit & the US people. New recession coming."||||"1008354805423669250"|https://twitter.com/Datasmate/status/1008354805423669250
TantumVero|2018-06-17 16:22|0|0|"@ realDonaldTrump isn't concerned with saving money. His budget has a TRILLION DOLLAR deficit He has spent nearly 70 MILLION DOLLARS in taxpayer money on his golf trips If you think he is suddenly getting smart with our money, Google the term "cognitive dissonance.""||@||"1008354131390713856"|https://twitter.com/TantumVero/status/1008354131390713856
CGuiltner|2018-06-17 16:21|0|0|"They are NOT war game, they are " Training Exercises" & what they cost is a mere morsel of the whole military budget that has already been set. OMG! S.Korea also pays for half, STOP ALL OF THE LYING!!!"||||"1008353935147651072"|https://twitter.com/CGuiltner/status/1008353935147651072
LJRoberts73|2018-06-17 16:20|0|4|"About a 2 trillion dollar budget deficit this year to give a tax break to those who don’t need it."||||"1008353774467940353"|https://twitter.com/LJRoberts73/status/1008353774467940353
Datasmate|2018-06-17 16:20|0|0|"You should have given such large tax cuts. The budget short falls are going to bankrupt the US."||||"1008353593395687424"|https://twitter.com/Datasmate/status/1008353593395687424
LizaradleyNicky|2018-06-17 16:20|0|0|"So why the fuck did we increase military budget if not to train as you fight?"||||"1008353591508299776"|https://twitter.com/LizaradleyNicky/status/1008353591508299776
gernburgs|2018-06-17 16:17|0|0|"Destroying our international reputation with our closest allies and start a trade war that's killing his own voters. He gave a massive tax gift to the super rich and then signed a record, budget-busting bill AND HE WONT STOP RUUSIA FROM SCREWING WITH OUR ELECTIONS."||||"1008352898311491584"|https://twitter.com/gernburgs/status/1008352898311491584
marcbowlby03|2018-06-17 16:16|0|0|"So where did that money go you took from the taxpayers in the budget for the Military that you stressed about so much? Buying another Hotel I presume!!"||||"1008352665066262528"|https://twitter.com/marcbowlby03/status/1008352665066262528
TantumVero|2018-06-17 16:15|0|0|"More lies. DPRK has demanded we stop exercises for decades; calling them "provocative." You gave them what they wanted & use their propaganda language. If you think it was your idea you're just a fool. The exercises are also NOT "very expensive" in context of our budgets."||||"1008352548888219648"|https://twitter.com/TantumVero/status/1008352548888219648
igneousidol|2018-06-17 16:15|0|0|"Biggest military budget ever...our taxes pay for that...where are your taxes you said you would show?"||||"1008352408030928897"|https://twitter.com/igneousidol/status/1008352408030928897
outward_rant|2018-06-17 16:14|0|0|"War Games = military preparedness and readiness training. You want the military to have what they need, you expanded their budget, and now you take away their practice? # hypocrite"|||#|"1008352084465475584"|https://twitter.com/outward_rant/status/1008352084465475584
JimOfOakCreek|2018-06-17 16:11|0|0|"Trump inherited the Obama economy. Obama inherited the Bush economy. Remember? Keep in mind the persistent $1.5-$2 trillion Fed Budget Deficits will take their toll. Especially as interest rates rise."||||"1008351426316308480"|https://twitter.com/JimOfOakCreek/status/1008351426316308480
gernburgs|2018-06-17 16:10|0|0|"Trump literally blew the budget to pieces only months ago, and you somehow don't remember that already???"||||"1008351127073624064"|https://twitter.com/gernburgs/status/1008351127073624064
gernburgs|2018-06-17 16:09|0|0|"Yo, how are you going to even TRY to blame Obama for that??? Are you crazy? Trump JUST slashed taxes on the rich and corporations and then blew a GIGANTIC hole in the budget. You're not even being realistic now. You can't just blame Obama for things Trump has clearly done himself"||||"1008350866624122880"|https://twitter.com/gernburgs/status/1008350866624122880
biner54|2018-06-17 16:07|0|0|"There must be some gas money in that 650 billion defense budget, war games may not be that big a stretch. Sweating in peace tops bleeding in war."||||"1008350444450664449"|https://twitter.com/biner54/status/1008350444450664449
philbutta|2018-06-17 16:00|0|0|"Military budget! Increased!"||||"1008348621941723136"|https://twitter.com/philbutta/status/1008348621941723136
she_is_corey|2018-06-17 15:55|0|0|"You are an absolute abomination. This is another lie. You are the one that said we needed more funding for the military. If not for training exercises, not “war games”, then what is the budget for? Just your very expensive and unnecessary parade?"||||"1008347332964839424"|https://twitter.com/she_is_corey/status/1008347332964839424
ThomParrotti|2018-06-17 15:52|2|3|"Worried about expenses... than STOP Abusing your travel budget. Trump has spent the entire 4 year travel budget in under 1 year in office."||||"1008346566967652352"|https://twitter.com/ThomParrotti/status/1008346566967652352
