Similarity|Number|Text|Id
0.737|12|Yea, and so is Chick-Fil-A appreciation day. Big fucking deal.|984278090405818368
0.737|20|NOT THE CHICK-FIL-A APPRECIATION DAY PAGE?!?! https://twitter.com/SenTedCruz/status/983820990659616768 …|984081461618802689
0.737|23|Honestly I didn't know there was a holiday called Chick-Fil-A Appreciation Day until Cruz complained it wasn't celebrated correctly. # OverheardAtZuckHearings|984035326523002880
0.737|28|Not the chick-fil-a appreciation day page (!)|983928355639640064
0.737|34|The Chick-fil-A appreciation day page was originally taken down. Tell me how that is bigoted. And I’m allowed to speak freely|983881855366778881
0.737|38|“Chick-Fil-A Appreciation Day page” https://twitter.com/nycjim/status/983801838255398913 …|983868246280388608
0.737|41|Since when is a Chick-fil-A Appreciation Day page racist?|983858053656215552
0.7272|17|In hearing with Facebook's Mark Zuckerberg, Ted Cruz avoids questions about Cambridge Analytica ..... But he was worried about Chick fil A appreciation day though... https://www.dallasnews.com/business/technology/2018/04/10/mistake-sorry-facebook-ceo-mark-zuckerberg-faces-congress …|984147988573548545
0.7197|13|# Facebook BIAS Shut Down “Chick-Fil-A Appreciation Day” blocks posts from journalists, specific religious groups and most recently, grassroots Trump supporters # DiamondAndSilk.http://www.foxnews.com/opinion/2018/04/11/sen-ted-cruz-facebook-has-been-censoring-or-suppressing-conservative-speech-for-years.html …|984237749883502593
0.69|37|Why did @ BarackObama exonerate cheatin' @ kfc while “Chick-Fil-A Appreciation Day” page had been missing since 2012? # DISGRACEFUL @ tedcruz https://youtu.be/LSBFTKI-zIM  https://twitter.com/gallonofallan/status/983845868796366848 …|983871900404285440
0.6893|4|watched @ tedcruz FB questions. Surprised at chick-fil-a appreciation day ban. went to chick-fil-a site saw I it was no longer liked so I clicked like. SURPRISINGLY the non-bias algorithms recommended for me the following for clicking on 1, ONE link all day to a fast food place. pic.twitter.com/rC5HXFeYKL|985579375075647488
0.6825|32|Ted was so damn stupid trying to get Mark to pivot from data security subject. Shut up Mr. Chick Fill A Appreciation Day..dumb idiot! A GOOD TIME TO BOYCOTT CHICK FIL A https://twitter.com/politics_pr/status/983882442732855296 …|983884666150277120
0.6803|25|Facebook initially shut down the Chick-fil-A Appreciation Day page, blocked over two dozen Catholic pages, blocked Trump supporters Diamond and Silk’s page – with 1.2 million Facebook followers -- after determining their content and brand were 'unsafe to the community.'|983964031454031872
0.6792|19|WATCH: Ted Cruz Grills Mark Zuckerberg Over 'Chick-fil-A Appreciation Day' Page Shuttering - http://www.thenewcivilrightsmovement.com/2018/04/watch-ted-cruz-grills-mark-zuckerberg-over-chick-fil-a-appreciation-day-page-shuttering/#.Ws46wTqspV8.facebook …|984109248287330305
0.6743|22|Ted Cruz Grills Mark Zuckerberg Over Facebook’s Political Bias, Censorship In addition to that, Facebook has initially shut down the ‘Chick-Fil-A Appreciation Day’ page,... has blocked over two dozen Catholic pages, ..." https://stream.org/ted-cruz-grills-mark-zuckerberg-facebooks-political-bias-censorship/ …"|984044243063894016
0.6676|10|Facebook’s actions have ranged from seemingly petty things – like shutting down a “Chick-Fil-A Appreciation Day” to blocking posts from journalists, specific religious groups and most recently, grassroots Trump supporters Diamond and Silk.|984502093380771840
0.6663|30|Ted Cruz litterally asked why fb “shut down the Chick-fil-A appreciation day page”|983911665585434624
0.6583|24|It has just become unavoidably apparent to me that at the US Senate Committee Mark Zuckerberg was scolded by Ted Cruz - WHO RAN FOR PRESIDENT - about the fact that Facebook (momentarily) shut down the CHICK-FIL-A APPRECIATION DAY page.|983992210097102848
0.6571|33|@ SenTedCruz scolds # Zuckerberg for removing Chick-fil-A customer appreciation day," saying # Zuckerberg is censoring Conservative Christians"|983884063533649922
0.6543|26|Senator Ted Cruz used his questioning time to express outrage over Facebook’s alleged bias against Chick-Fil-A Appreciation Day. pic.twitter.com/dGlTeYepWu""|983963380007555072
0.6543|27|Senator Ted Cruz used his questioning time to express outrage over Facebook’s alleged bias against Chick-Fil-A Appreciation Day. pic.twitter.com/8IH7AlrGGP|983963188092964866
0.6099|9|I liked a @ YouTube video http://youtu.be/OxOXQAQphGo?a  Chick-Fil-A's Cow Appreciation Day - 2013 (Dress Like Me, Git Free Chikin')|984705282218516480
0.5981|15|WATCH: Ted Cruz Grills Mark Zuckerberg Over 'Chick-fil-A Appreciation Day' Page Shuttering - http://www.thenewcivilrightsmovement.com/2018/04/watch-ted-cruz-grills-mark-zuckerberg-over-chick-fil-a-appreciation-day-page-shuttering/#.Ws6BsQJ8-dQ.twitter … Cruz uses his time for falicy about a campaign that was in 2015? # VoteBeto|984185646062489600
0.5966|29|Cruz cited examples of conservative-leaning pages he said had been shut down, such as Chick-fil-A Appreciation Day and posts from a Fox News reporter&about the political leanings of Facebook employees... but about Russia and the 2016 election? Not so much. https://www.bloomberg.com/news/articles/2018-04-10/cruz-grills-zuckerberg-on-censorship-conservative-viewpoints …|983919250481041408
0.5404|31|The brilliance of David Mayhew's Electoral Connection was not lost in today's Facebook hearing in the Senate Judicary & Commerce Committees. Exhibit A: Ted Cruz & Chick-Fil-A Appreciation Day # electoralconnectionpic.twitter.com/b0sWECXWUL|983889016494800896
0.5385|6|on my list of people I don't envy, next to Chick-fil-a workers on Cow Appreciation Day:,the writers trying to come up with the Incredibles 2 plot. How do you write a story to match 15 YEARS of hopeful anticipation?|984892855679365121
0.4337|39|Cruz more concerned about censorship of a Chick-fil-A Appreciation Day page than subversion of the election. Cruz presses Zuckerberg on alleged censorship of conservative speech http://thehill.com/policy/technology/382538-cruz-tangles-with-zuckerberg-over-censorship-of-conservative-speech …|983862847389216769
